Date,NVDA,MSFT,JNJ,JPM,RTX,V
2014-01-03,-0.011979867986693482,-0.006727380787482806,0.009007972978537726,0.007730604851238221,0.003644337681518506,0.0006788867281597444
2014-01-06,0.013401335478261167,-0.021132629676353543,0.005225933234247693,0.0057959745203182145,-0.0009740095380311731,-0.00601366813893478
2014-01-07,0.016372766490555524,0.0077500197724063025,0.02122781877253188,-0.011525595518088516,0.006383701875734449,0.0076422694564761695
2014-01-08,0.013630610548142963,-0.0178523386792232,-0.0013782489879137216,0.009431029786126643,0.0012333466162177675,0.003205356694151229
2014-01-09,-0.03728613867491892,-0.006431978192011911,0.006053415684728725,-0.0018687263118649655,0.00052813819439268,-0.0013949332376670398
2014-01-10,-0.0012695675836434939,0.01435444777080086,0.00010556126892957707,-0.0045951275402899006,0.0010553653618470271,-0.0035153371307362624
2014-01-13,-0.023522241535885335,-0.029411944810049606,-0.002532978232281491,-0.013506153170979807,-0.009048820255945667,-0.01008446600940871
2014-01-14,0.031249850814523805,0.022870307480133745,0.002327774179759823,0.0006933905823642839,-0.0015069905419543561,0.01713120159911985
2014-01-15,0.010732566204564309,0.027389501816423634,0.0008443544449303619,0.030307959954296804,0.012784752705214952,0.004985276819778228
2014-01-16,0.0031230855317490036,0.0035363103913317318,-0.0016877335672614846,-0.008404953543611482,0.001315237866448049,-0.008893527901162712
2014-01-17,-0.004358659896290584,-0.013824939356046784,0.004438015473415602,-0.014917618932926424,-8.754858541826227e-05,0.04694053660969444
2014-01-21,0.0037524849538874694,-0.0057722879876732636,-0.010835402594245425,0.0010325212499064929,0.006829880245712072,-0.0010768044285938139
2014-01-22,-0.0012462309214460454,-0.00663516452883095,0.0030840669001621634,-0.009970713590055746,0.009826601071174279,0.004570428900286139
2014-01-23,-0.0037426480319274757,0.003618448392386897,-0.016751298380025537,-0.01944791030381332,-0.011022927506459057,-0.02034387653994052
2014-01-24,-0.025673292587503727,0.02079835368121885,-0.02296759592960529,-0.024437677892234944,-0.026471987140203712,-0.03066847646963322
2014-01-27,-0.006426729578962509,-0.02118966439601544,-0.007394077709509506,0.0,0.01779986419518398,-0.022734241429468893
2014-01-28,0.009702081391304462,0.006660624797500292,0.0017789315257001892,0.011798486384047235,0.0006153678785172367,0.021921971516782435
2014-01-29,-0.009608855493231871,0.010752764503561885,-0.01331864869666155,-0.0037668204108420866,-0.00518190901728699,-0.01737844524256127
2014-01-30,0.016817562581945555,0.005455858676931102,0.006748675708504903,0.008463231957885675,0.012447881892875046,0.017317242205420857
2014-01-31,-0.0012723118009977386,0.02658673517818322,-0.011507881121777586,-0.011428413561980544,-0.005754819900864128,-0.024673903798692054
2014-02-03,-0.013375487458406998,-0.035940478683504584,-0.01910253798307726,-0.01896689602374535,-0.03385365939634277,-0.00909799408343448
2014-02-04,0.005809842673185628,-0.003564145545290831,-0.0018437096508272521,0.011784523202793551,-0.009622318209142278,0.005012272670688933
2014-02-05,-0.008986051001507733,-0.014580469745779867,0.007619473123422704,0.004731686739546159,-0.010907718328986626,0.004987740449180711
2014-02-06,0.012953524004420514,0.010050768555905476,0.016842409400640523,0.023002971375196246,0.0142713128673706,0.01576898852797548
2014-02-07,0.014705620825849142,0.010502664838661246,0.014534888778801491,0.002478869838090869,0.011694968843308118,0.012647919957744502
2014-02-10,0.003150716578903534,0.006564573987450251,0.011439512160158927,0.002119478354600801,0.007856571847215221,-0.0055460861603091605
2014-02-11,0.020729178661478054,0.010054291060253684,0.02086316684101952,0.01216059907287037,0.012186713016781203,0.008070679634035516
2014-02-12,0.03569183174065271,0.008070697411838967,-0.005915780454614161,0.0015672117027758503,0.003648458791237985,0.010093201520502637
2014-02-13,0.03149150610642959,0.003736863184719441,0.001514796226721682,0.008866451481755133,0.0046109627781321105,-0.0005351124377039884
2014-02-14,0.03168189349112449,0.00026601239353696293,0.002160376393553154,0.002067707678257813,0.005030697353504143,0.008703235160305134
2014-02-18,-0.0005582975123608058,0.0021423824216479925,-0.006360502567185233,0.005846718054512312,-0.0011414955944801797,0.00026575719302779355
2014-02-19,0.013407613996325729,0.0024049438914517385,-0.00575025800365947,-0.02102899465788932,0.002637614961084722,-0.009643556023903321
2014-02-20,0.03528135195745441,0.006398324568703817,0.008075282377479231,0.005588740286929905,0.008856453441440815,-0.0018762094944554386
2014-02-21,-0.007454747328860312,0.006092840059155558,-0.0021802641424649716,0.0005210124951611217,0.002868291897700992,-0.0004472447766870058
