Date,NVDA,MSFT,JNJ,JPM,RTX,V
2014-01-02,0.3738640546798706,30.83112525939941,65.215087890625,42.19771194458008,53.38301849365234,50.66695785522461
2014-01-03,0.3693852126598358,30.62371253967285,65.80254364013672,42.52392578125,53.57756423950195,50.70135498046875
2014-01-06,0.3743354678153991,29.97655296325684,66.14642333984375,42.77039337158203,53.5253791809082,50.39645385742188
2014-01-07,0.3804643750190735,30.208871841430664,67.55056762695312,42.27743911743164,53.867069244384766,50.78159713745117
2014-01-08,0.3856503367424011,29.669572830200195,67.45746612548828,42.6761589050293,53.93350601196289,50.94437026977539
2014-01-09,0.3712709248065948,29.47873878479004,67.86581420898438,42.59640884399414,53.96199035644531,50.87330627441406
2014-01-10,0.370799571275711,29.90188980102539,67.87297821044922,42.400672912597656,54.01893997192383,50.6944694519043
2014-01-13,0.362077534198761,29.022417068481445,67.70105743408203,41.8280029296875,53.53013229370117,50.18324279785156
2014-01-14,0.3733924031257629,29.686168670654297,67.85865020751953,41.85700607299805,53.449462890625,51.04294204711914
2014-01-15,0.3773998618125915,30.49925804138184,67.91594696044922,43.125606536865234,54.1328010559082,51.29740524291992
2014-01-16,0.3785785138607025,30.607112884521484,67.80132293701172,42.76313781738281,54.20399856567383,50.841190338134766
2014-01-17,0.3769284188747406,30.183971405029297,68.10222625732422,42.12521362304688,54.19925308227539,53.22770309448242
2014-01-21,0.3783428370952606,30.009740829467773,67.36431121826172,42.16870880126953,54.569427490234375,53.170387268066406
2014-01-22,0.3778713345527649,29.81062126159668,67.57206726074219,41.74825668334961,55.10565948486328,53.41339874267578
2014-01-23,0.3764570951461792,29.91848945617676,66.44014739990234,40.93634033203125,54.498233795166016,52.32676315307617
2014-01-24,0.3667922019958496,30.54074478149414,64.91417694091797,39.93595123291016,53.05555725097656,50.721981048583984
2014-01-27,0.3644349277019501,29.89359664916992,64.43419647216797,39.93595123291016,53.99993896484375,49.56885528564453
2014-01-28,0.3679707050323486,30.09270668029785,64.54882049560547,40.407135009765625,54.03316879272461,50.65550231933594
2014-01-29,0.3644349277019501,30.41628646850586,63.68911743164063,40.25492858886719,53.753173828125,49.77518844604492
2014-01-30,0.3705638349056244,30.58223342895508,64.11893463134766,40.59561538696289,54.42228698730469,50.63715744018555
2014-01-31,0.370092362165451,31.39531517028809,63.38106155395508,40.13167190551758,54.10909652709961,49.38774108886719
2014-02-03,0.3651421964168548,30.26695251464844,62.17032241821289,39.37049865722656,52.277305603027344,48.93841171264648
2014-02-04,0.3672636151313782,30.159076690673828,62.05569839477539,39.8344612121582,51.77427673339844,49.1837043762207
