Date,Adj Close,Close,High,Low,Open,Volume
,RTX,RTX,RTX,RTX,RTX,RTX
2014-01-02,53.383018493652344,70.79295349121094,71.24606323242188,70.67967224121094,71.05097198486328,4210056
2014-01-03,53.57756423950195,71.05097198486328,71.43486785888672,70.9439926147461,71.08244323730469,3678376
2014-01-06,53.5253791809082,70.98175048828125,71.64253997802734,70.58527374267578,71.3530502319336,4698355
2014-01-07,53.867069244384766,71.43486785888672,71.72435760498047,71.05097198486328,71.1894302368164,3972977
2014-01-08,53.93350601196289,71.5229721069336,71.70547485351562,70.83700561523438,71.0761489868164,4991685
2014-01-09,53.96199035644531,71.56072998046875,71.88797760009766,71.14537048339844,71.78728485107422,3373765
2014-01-10,54.01893997192383,71.63624572753906,72.19005584716797,71.11390686035156,71.90056610107422,3572390
2014-01-13,53.53013229370117,70.98804473876953,71.9635009765625,70.87476348876953,71.27753448486328,5179346
2014-01-14,53.449462890625,70.88105773925781,71.37193298339844,70.56010437011719,70.9062271118164,5451065
2014-01-15,54.1328010559082,71.78728485107422,71.91944885253906,70.8307113647461,70.84329986572266,3609890
2014-01-16,54.20399856567383,71.88168334960938,71.9886703491211,71.48521423339844,71.66771697998047,4215776
2014-01-17,54.19925308227539,71.87539672851562,72.03901672363281,71.5229721069336,71.54814147949219,6807753
2014-01-21,54.569427490234375,72.36626434326172,72.98930358886719,72.03272247314453,72.27186584472656,7527411
2014-01-22,55.10565948486328,73.07740783691406,74.38640594482422,72.65576171875,73.93958282470703,8013009
2014-01-23,54.498233795166016,72.27186584472656,72.95154571533203,72.05160522460938,72.42290496826172,6493290
2014-01-24,53.05555725097656,70.35871887207031,71.9635009765625,70.33983612060547,71.75582122802734,8135362
2014-01-27,53.99993896484375,71.61107635498047,72.25299072265625,70.21397399902344,70.40906524658203,12179685
2014-01-28,54.03316879272461,71.6551284790039,71.69918060302734,71.10761260986328,71.48521423339844,5819077
2014-01-29,53.753173828125,71.28382873535156,71.77470397949219,70.75519561767578,71.15166473388672,6167227
2014-01-30,54.42228698730469,72.17118072509766,72.54248046875,71.5229721069336,71.73064422607422,5101961
2014-01-31,54.10909652709961,71.75582122802734,72.32850646972656,70.7174301147461,71.101318359375,5532898
2014-02-03,52.277305603027344,69.32662200927734,72.20893859863281,69.29515075683594,71.81246185302734,8361636
2014-02-04,51.77427673339844,68.65953063964844,69.23851776123047,67.6526107788086,68.20012664794922,15508004
2014-02-05,51.209537506103516,67.91063690185547,68.52737426757812,67.33795166015625,68.15607452392578,10907691
2014-02-06,51.940364837646484,68.87979888916016,68.91126251220703,68.03020477294922,68.03020477294922,5907425
2014-02-07,52.54780578613281,69.68533325195312,69.96224212646484,69.21963500976562,69.24480438232422,6328193
2014-02-10,52.96065139770508,70.23284912109375,70.28319549560547,69.43360900878906,69.59722900390625,6505366
2014-02-11,53.6060676574707,71.08873748779297,71.23977661132812,70.10069274902344,70.3272476196289,5345396
2014-02-12,53.8016471862793,70.97545623779297,71.02580261230469,70.4656982421875,70.81812286376953,4777011
2014-02-13,54.04972457885742,71.30270385742188,71.47891998291016,70.28948974609375,70.59786224365234,4005710
2014-02-14,54.321632385253906,71.66142272949219,71.83133697509766,70.7174301147461,71.27753448486328,5508427
2014-02-18,54.25962448120117,71.5796127319336,71.81246185302734,71.08873748779297,71.74323272705078,3802159
2014-02-19,54.402740478515625,71.7684097290039,72.54877471923828,71.37193298339844,71.39081573486328,6667762
2014-02-20,54.88455581665039,72.4040298461914,72.6242904663086,71.4096908569336,71.96979522705078,4920815
2014-02-21,55.0419807434082,72.61170196533203,73.05223083496094,72.19635009765625,72.55506896972656,5815740
2014-02-24,55.571510314941406,73.31025695800781,73.99622344970703,72.56135559082031,72.85713958740234,5293754
2014-02-25,55.2852668762207,72.93266296386719,73.42353820800781,72.72498321533203,73.03335571289062,4082936
2014-02-26,55.39022445678711,73.07111358642578,73.49905395507812,72.75645446777344,72.93266296386719,4690092
2014-02-27,55.628746032714844,73.38578033447266,73.39836120605469,72.78162384033203,73.08370208740234,3411742
