Date,Adj Close,Close,High,Low,Open,Volume
,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
2014-01-02,65.215087890625,91.02999877929688,91.7300033569336,91.01000213623047,91.13999938964844,5919600
2014-01-03,65.80254364013672,91.8499984741211,92.22000122070312,91.26000213623047,91.29000091552734,5637600
2014-01-06,66.14642333984375,92.33000183105469,92.75,91.87000274658203,91.93000030517578,7443500
2014-01-07,67.55056762695312,94.29000091552734,94.62000274658203,92.98999786376953,93.04000091552734,11063300
2014-01-08,67.45746612548828,94.16000366210938,94.5999984741211,93.87999725341797,94.16999816894531,9096700
2014-01-09,67.86581420898438,94.7300033569336,95.37999725341797,94.08999633789062,94.94000244140625,7944700
2014-01-10,67.87297821044922,94.73999786376953,94.9800033569336,94.13999938964844,94.63999938964844,6697400
2014-01-13,67.70105743408203,94.5,94.98999786376953,94.05999755859375,94.37000274658203,9589200
2014-01-14,67.85865020751953,94.72000122070312,94.9000015258789,94.31999969482422,94.5999984741211,7567300
2014-01-15,67.91594696044922,94.80000305175781,95.2699966430664,94.51000213623047,94.6500015258789,7390700
2014-01-16,67.80132293701172,94.63999938964844,95.08999633789062,94.2300033569336,94.5999984741211,8401100
2014-01-17,68.10222625732422,95.05999755859375,95.16999816894531,94.37999725341797,94.72000122070312,13714400
2014-01-21,67.36431121826172,94.02999877929688,95.0999984741211,92.62000274658203,94.93000030517578,16368400
2014-01-22,67.57206726074219,94.31999969482422,94.55000305175781,93.54000091552734,93.98999786376953,8875500
2014-01-23,66.44014739990234,92.73999786376953,93.80000305175781,92.41000366210938,93.73999786376953,9322300
2014-01-24,64.91417694091797,90.61000061035156,92.61000061035156,90.61000061035156,92.12000274658203,10604200
2014-01-27,64.43419647216797,89.94000244140625,90.76000213623047,89.8499984741211,90.30000305175781,8685200
2014-01-28,64.54882049560547,90.0999984741211,90.5999984741211,89.79000091552734,90.58000183105469,8254400
2014-01-29,63.689117431640625,88.9000015258789,89.70999908447266,88.52999877929688,89.47000122070312,11160100
2014-01-30,64.11893463134766,89.5,89.77999877929688,89.01000213623047,89.62000274658203,6874900
2014-01-31,63.38106155395508,88.47000122070312,89.33999633789062,88.1500015258789,89.01000213623047,12193800
